fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
15.018219229330182,-74.016048,40.711303,-73.979268,40.782004,2
5.7,-73.982738,40.76127,-73.991242,40.750562,4
7.7,-73.98713000000002,40.733143,-73.991567,40.758092,2
5.3,-73.96809499999998,40.768008,-73.956655,40.783762,2
12.1,-74.000964,40.73163,-73.972892,40.758233,2
7.5,-73.980002,40.751662,-73.973802,40.764842,2
16.5,-73.9513,40.774138,-73.990095,40.751048,2
15.018219229330182,-74.006462,40.726713,-73.993078,40.731628,2
8.9,-73.98065799999998,40.733873,-73.99154,40.758138,4
5.3,-73.996335,40.737142,-73.980721,40.733559,2
4.1,-73.991601,40.744712,-73.983081,40.744682,4
7.0,-74.00536,40.728867,-74.008913,40.710907,2
7.7,-74.00182099999998,40.737547,-73.99806,40.722788,4
12.5,-73.98643,40.760465,-73.98899,40.737075,2
5.3,-73.98106,40.73769,-73.99417700000002,40.728412,2
5.3,-73.969505,40.784843,-73.958732,40.783357,2
4.0,-73.979815,40.751902,-73.979446,40.755481,2
10.5,-73.985382,40.747858,-73.97837700000002,40.76207,2
11.5,-73.957954,40.779252,-73.96125,40.758787,2
4.5,-73.99170699999998,40.770505,-73.98545899999998,40.763671,2
4.9,-74.000632,40.747473,-73.986672,40.740577,2
6.1,-73.969622,40.756973,-73.98115200000002,40.759712,2
7.3,-73.991875,40.754437,-73.97723,40.774323,5
4.5,-73.988893,40.76016,-73.98644499999997,40.757857,2
4.5,-73.98102,40.73776,-73.98066800000002,40.730497,4
5.5,-73.976075,40.752422,-73.981082,40.759285,2
5.7,-73.976162,40.744988,-73.990002,40.738323,4
4.5,-73.99017334,40.75644684,-73.98561859,40.76282883,2
5.3,-73.995199,40.75474000000001,-74.005416,40.75108400000001,2
9.8,-73.972673,40.759186,-73.969897,40.791367,2
8.1,-73.984267,40.744961,-73.981646,40.759608,2
10.9,-74.003899,40.725514,-73.976484,40.765537,4
17.5,-73.97845,40.76292,-74.008482,40.716502,2
12.1,-73.988558,40.7372,-73.958688,40.780748,2
5.3,-73.997037,40.737095,-73.98612800000002,40.735043,2
6.9,-73.971114,40.758944,-73.97793,40.736613,2
4.5,-73.980822,40.74442,-73.991093,40.748797,2
3.3,-73.988877,40.76357700000001,-73.985573,40.760262,2
3.3,-73.98666,40.756072,-73.989727,40.751702,7
9.0,-73.992253,40.742657,-73.983597,40.755947,2
5.5,-73.952825,40.772048,-73.95219399999998,40.781152,5
8.0,-73.980298,40.783723,-73.979628,40.763179,2
7.5,-73.97770799999998,40.746212,-73.975782,40.745055,2
15.3,-73.97151,40.755886,-73.968067,40.801173,2
9.7,-73.97954200000002,40.727498,-73.999315,40.730088,6
13.7,-74.002113,40.739582,-73.971918,40.791899,4
6.5,-73.98543000000002,40.736011,-73.982501,40.724802,2
4.5,-74.009137,40.713436,-74.00282299999998,40.72342800000001,5
4.9,-74.003985,40.73167700000001,-73.999765,40.723512,2
7.3,-74.003919,40.753019,-73.992368,40.735362,2
7.5,-74.004736,40.715882,-74.017723,40.705141,2
8.5,-73.991467,40.750575,-73.98575,40.741547,6
15.018219229330182,-73.95479584,40.77933502,-73.94493103,40.78008652,2
6.9,-73.99578100000002,40.723411,-74.005004,40.71895,4
3.7,-74.00163,40.730767,-73.997112,40.737533,2
6.9,-73.955118,40.768942,-73.963495,40.761887,4
10.1,-73.977788,40.771838,-73.9662,40.778113,4
16.5,-73.9828,40.745287,-74.01425,40.702935,2
15.07,-73.961933,40.795585,-73.962253,40.764817,4
7.7,-73.996601,40.736569,-73.982152,40.744322,2
7.0,-73.988425,40.764342,-74.001642,40.745752,4
8.5,-73.994128,40.735087,-73.986393,40.751461,2
5.7,-73.97383,40.763717,-73.98942,40.771522,2
5.0,-74.01335999999998,40.702272,-74.01699,40.709245,2
8.5,-73.95371,40.790813,-73.957015,40.777676,2
17.0,-74.00972800000002,40.705167,-73.970897,40.749307,2
12.0,-73.995387,40.749482,-73.975789,40.748741,2
7.5,-73.990815,40.730495,-73.978337,40.751085,2
6.9,-74.00744300000002,40.732547,-73.991112,40.742312,7
5.0,-73.98874664,40.74495316,-73.99568176,40.74422073,4
10.5,-74.00113499999998,40.730979,-73.984424,40.76463,2
7.7,-73.96888100000002,40.764533,-73.985311,40.748956,2
11.0,-73.98105621,40.77426529,-73.95904541,40.78067398,4
5.7,-73.99282600000002,40.751271,-73.982786,40.742432,2
9.0,-73.946852,40.775802,-73.96434,40.760703,2
13.5,-73.950655,40.783282,-73.984365,40.769802,2
7.5,-73.976512,40.76527700000001,-73.977672,40.778052,2
9.0,-73.984977,40.752122,-74.000925,40.757982,2
14.0,-73.9792099,40.7236824,-74.01746368,40.71139526,2
5.7,-73.983052,40.722588,-73.988022,40.733738,5
5.7,-73.993452,40.761447,-73.979662,40.759618,7
9.7,-73.97070500000002,40.761643,-73.99283299999998,40.727647,4
14.1,-73.974492,40.751369,-74.01058499999998,40.703364,2
7.7,-73.991607,40.76318,-73.982718,40.76239,4
11.3,-74.00766999999998,40.732177,-73.974663,40.758932,2
8.5,-73.986681,40.725659,-73.977068,40.754504,2
9.5,-73.972195,40.765883,-73.96794200000002,40.761951,2
9.0,-73.982272,40.748357,-73.969325,40.763877,2
9.0,-73.96083,40.77308,-73.978372,40.774907,2
17.0,-73.97339000000002,40.743883,-73.954021,40.766063,2
6.1,-74.00012199999998,40.74308,-74.00615,40.734233,7
3.7,-73.966957,40.761268,-73.967912,40.765535,2
5.3,-73.995083,40.739527,-73.999599,40.726264,5
11.5,-73.972018,40.750142,-74.006008,40.73622,7
4.0,-73.993701,40.741569,-73.987999,40.748834,2
10.5,-73.966473,40.7575,-73.993336,40.745051,2
5.0,-73.971696,40.763378,-73.962035,40.776598,2
8.0,-73.98849200000002,40.71797700000001,-73.97818000000002,40.737407,2
7.3,-73.986588,40.72165,-74.00800500000003,40.717167,4
6.5,-73.98213,40.774807,-73.97358299999998,40.789645,7
8.0,-74.002843,40.733692,-73.987882,40.72859,2
10.5,-73.988006,40.737723,-73.965699,40.766095,2
11.5,-73.94747199999998,40.771227,-73.981832,40.760272,2
12.5,-73.984723,40.748023,-73.977245,40.757891,4
5.5,-73.950305,40.785607,-73.943587,40.789532,2
6.5,-73.980735,40.747911,-73.97053000000002,40.761998,2
16.5,-73.99698639,40.75542831,-73.95319366,40.80210114,5
9.0,-74.00344849,40.73310089,-74.00800323,40.70721436,2
8.9,-73.9578,40.768003,-73.981712,40.763392,2
10.9,-73.983735,40.746697,-73.954411,40.772219,2
8.9,-73.98103,40.729782,-73.993011,40.752803,2
8.5,-73.963115,40.774034,-73.975251,40.760823,2
17.0,-73.962458,40.759027,-73.986199,40.753397,2
16.0,-74.005677,40.745547,-73.962663,40.794295,2
8.0,-73.98548889,40.74728012,-74.00767517,40.74076843,2
17.3,-73.950972,40.785633,-74.01024,40.720302,2
5.7,-74.00844000000002,40.711253,-74.001313,40.731078,2
5.5,-73.98091125,40.74206543,-73.97698975,40.75165558,2
16.5,-73.974938,40.762091,-74.003309,40.706195,4
10.1,-73.99124499999998,40.739058,-73.992972,40.76768,2
9.5,-73.992583,40.730417,-74.005352,40.740247,2
4.5,-73.979872,40.74902700000001,-73.97655300000002,40.757498,7
6.5,-73.971541,40.764009,-73.975937,40.755971,2
8.0,-73.975189,40.759095,-73.98051,40.76761,2
4.9,-74.00301800000003,40.73978,-73.99153299999998,40.733091,2
5.7,-73.991037,40.750049,-73.980438,40.75193,4
15.3,-73.949477,40.768018,-74.003118,40.733022,7
14.9,-73.992214,40.758864,-73.9938,40.722718,2
7.0,-73.999998,40.727087,-73.992448,40.735602,2
8.5,-73.954598,40.78676,-73.966013,40.768112,2
15.018219229330182,-73.99414300000002,40.751193,-73.988897,40.759742,2
4.1,-73.982279,40.768364,-73.985968,40.762939,2
11.7,-73.98149599999998,40.781004,-73.99592,40.738813,2
5.7,-73.982357,40.762498,-73.97321,40.755345,4
5.3,-73.96706999999998,40.769178,-73.954895,40.77821,2
10.5,-73.94402313,40.77595901,-73.95504761,40.78507996,2
4.9,-73.982095,40.774001,-73.975373,40.787111,2
6.5,-73.98353,40.766992,-73.986255,40.779708,6
11.3,-73.981154,40.729204,-74.007407,40.74851,4
5.3,-73.98341500000002,40.761844,-73.990414,40.756375,4
5.7,-74.006055,40.733166,-74.002895,40.74553,2
8.1,-73.952198,40.788107,-73.980767,40.774995,2
6.1,-74.008083,40.719238,-73.99831999999998,40.737977,2
9.3,-73.995636,40.746573,-73.984437,40.767145,2
4.5,-73.972072,40.755692,-73.972082,40.755727,4
5.7,-73.99049000000002,40.755982,-73.974202,40.75421,6
16.5,-73.95485,40.76542,-74.00751,40.73877,4
17.0,-73.954462,40.764046,-73.99459300000002,40.729272,4
6.1,-74.005278,40.735298,-73.986698,40.729892,2
6.0,-74.004935,40.729625,-74.01615600000002,40.71741,2
6.5,-73.998488,40.726303,-73.998488,40.726303,2
16.0,-73.996652,40.744495,-73.980253,40.737635,2
16.1,-73.959222,40.763282,-73.9633,40.716935,2
15.7,-73.97489499999998,40.751455,-73.98175400000002,40.783542,4
5.5,-73.989692,40.735497,-73.982012,40.739392,2
6.0,-74.00031,40.747961,-73.993636,40.757229,2
7.7,-74.00145,40.717487,-74.017455,40.709785,2
12.9,-73.985185,40.72777,-73.98060500000003,40.759143,2
11.3,-73.993973,40.746577,-74.00506,40.70936500000001,2
5.7,-73.98637,40.74738,-73.975567,40.744572,4
5.3,-73.948001,40.77854,-73.958566,40.778483,4
10.5,-73.95410799999998,40.766901,-73.984133,40.743475,2
7.3,-73.99400899999998,40.76144,-73.972811,40.792574,2
4.5,-73.99533100000002,40.739986,-73.987655,40.736707,2
12.5,-73.982332,40.768633,-73.983343,40.744372,2
16.5,-73.9952,40.731697,-73.94977,40.780347,2
4.9,-74.002707,40.72664,-73.991825,40.72722,4
4.1,-73.990953,40.733067,-73.996235,40.72557000000001,2
15.5,-73.985132,40.76853,-74.002285,40.73000800000001,2
11.0,-73.97221375,40.76557159,-73.97958374,40.73646927,2
4.9,-73.998287,40.72749,-73.98985400000002,40.735239,4
11.3,-73.98019599999998,40.726966,-73.956413,40.77547,2
7.3,-73.983758,40.74643,-73.963557,40.774088,2
6.1,-73.98971999999998,40.75238,-74.007553,40.743197,2
3.3,-73.995802,40.749905,-73.99454300000002,40.750907,2
4.1,-73.991863,40.754275,-73.983796,40.753213,2
12.0,-73.973857,40.764185,-73.994435,40.750242,5
9.0,-73.991485,40.754599,-74.00497,40.751693,2
2.5,-73.989142,40.720105,-73.988777,40.720662,2
8.9,-73.98948,40.743287,-73.965692,40.754512,2
10.5,-73.97899100000002,40.72375,-73.96304599999998,40.711855,2
5.7,-74.000552,40.727492,-74.005037,40.719123,2
7.0,-74.002462,40.718762,-74.007071,40.705536,4
12.0,-73.98499699999998,40.768466,-73.944564,40.800466,2
4.5,-73.947035,40.776027,-73.95549799999998,40.764307,2
7.3,-73.977897,40.762802,-73.99153000000003,40.750252,7
5.3,-73.986402,40.754723,-73.998898,40.739248,2
6.9,-73.967425,40.755712,-73.983035,40.734913,7
9.3,-73.971088,40.792648,-73.968405,40.769673,2
6.7,-73.95966899999998,40.779718,-73.976259,40.788413,2
15.018219229330182,-73.979345,40.77663,-73.973842,40.757074,2
9.0,-73.98088,40.779967,-73.95374699999998,40.78777,2
13.0,-74.008125,40.738935,-73.980522,40.759953,4
5.5,-73.976474,40.765048,-73.964665,40.762986,2
8.1,-73.99606800000002,40.732605,-73.980675,40.761862,2
9.3,-73.97321099999998,40.760752,-73.974265,40.788281,2
18.0,-73.997845,40.721235,-73.98825699999998,40.764125,2
12.0,-73.984227,40.766897,-73.96239,40.776037,2
7.3,-73.96853399999998,40.752603,-73.992625,40.742916,2
4.9,-73.95554,40.781958,-73.96219599999998,40.772095,4
12.9,-73.978602,40.76412,-74.00885799999998,40.715637,4
4.0,-73.96197509999998,40.77611160000001,-73.95484924,40.77407455,2
15.3,-74.006636,40.751407,-73.95497900000002,40.765281,2
11.7,-73.954497,40.769857,-73.98431500000002,40.746007,2
8.9,-73.993112,40.719911,-73.95672900000002,40.720723,2
6.0,-73.978778,40.75350200000001,-73.973247,40.748147,2
6.0,-73.99578000000002,40.716218,-74.009132,40.72078,2
6.5,-74.003665,40.736906,-73.997843,40.724187,2
7.5,-73.97733000000002,40.74948,-73.987669,40.732709,2
16.5,-74.00399017,40.74797821,-73.98319244,40.75632858,2
9.7,-73.962981,40.766443,-73.98893000000002,40.731434,2
7.7,-73.97935,40.784608,-73.963933,40.808145,2
10.5,-74.00219799999998,40.739608,-73.987342,40.720295,4
8.9,-73.99633,40.753225,-73.978895,40.766963,5
7.5,-73.995892,40.746454,-73.995892,40.746454,2
5.5,-74.005583,40.740728,-74.003423,40.748705,2
10.9,-73.964958,40.775261,-73.94966099999998,40.809689,2
5.7,-73.967598,40.756242,-73.953277,40.76833,2
