fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,date,time
4.5,-73.844311,40.721319,-73.84161,40.712278000000005,2,165,6208
15.018219229330182,-74.016048,40.711303,-73.979268,40.782004,2,369,5957
5.7,-73.982738,40.76127,-73.991242,40.750562,4,956,224
7.7,-73.98713000000001,40.733143,-73.991567,40.758092,2,1202,1246
5.3,-73.96809499999999,40.768008,-73.956655,40.783762,2,431,2029
12.1,-74.000964,40.731629999999996,-73.972892,40.758233000000004,2,733,2910
7.5,-73.980002,40.751661999999996,-73.973802,40.764842,2,1415,7837
16.5,-73.9513,40.774138,-73.990095,40.751048,2,1094,6172
15.018219229330182,-74.006462,40.726713000000004,-73.993078,40.731628,2,1428,4355
8.9,-73.98065799999999,40.733872999999996,-73.99154,40.758138,4,244,428
5.3,-73.996335,40.737142,-73.980721,40.733559,2,1189,1882
5.5,0.0,0.0,0.0,0.0,5,1449,3544
4.1,-73.991601,40.744712,-73.983081,40.744682,4,309,394
7.0,-74.00536,40.728867,-74.008913,40.710907,2,1639,7473
7.7,-74.00182099999999,40.737547,-73.99806,40.722788,4,821,6097
5.0,0.0,0.0,0.0,0.0,2,1783,4272
12.5,-73.98643,40.760465,-73.98899,40.737075,2,1871,1819
5.3,-73.98106,40.73769,-73.99417700000001,40.728412,2,202,5676
5.3,-73.969505,40.784843,-73.958732,40.783357,2,551,5116
4.0,-73.979815,40.751902,-73.979446,40.755481,2,2161,7846
10.5,-73.985382,40.747858,-73.97837700000001,40.76207,2,613,4416
11.5,-73.957954,40.779252,-73.96125,40.758787,2,1499,3952
4.5,-73.99170699999999,40.770505,-73.98545899999999,40.763671,2,217,6604
4.9,-74.000632,40.747473,-73.986672,40.740577,2,703,4061
6.1,-73.969622,40.756972999999995,-73.98115200000001,40.759712,2,343,5452
7.3,-73.991875,40.754437,-73.97723,40.774322999999995,5,898,5720
15.018219229330182,0.0,0.0,0.0,0.0,2,765,7539
4.5,-73.988893,40.76016,-73.98644499999999,40.757857,2,905,7403
9.3,-73.98925799999999,40.690835,-74.004133,40.72569,2,1215,1467
4.5,-73.98102,40.737759999999994,-73.98066800000001,40.730497,4,1679,317
5.5,-73.976075,40.752421999999996,-73.981082,40.759285,2,1871,5638
22.54,-74.01048279,40.71766663,-73.98577118,40.66036606,2,2357,8479
31.9,-73.87302700000001,40.773883000000005,-73.984545,40.769545,5,8,5687
5.7,-73.976162,40.744988,-73.990002,40.738323,4,975,4754
18.1,-73.993717,40.740784999999995,-73.99927199999999,40.676617,2,975,9170
58.0,-73.98332977,40.73871994,-73.93319702,40.84722519,2,2197,996
4.5,-73.99017334,40.75644684,-73.98561859,40.76282883,2,2256,2165
5.3,-73.995199,40.754740000000005,-74.005416,40.751084000000006,2,1109,3088
9.0,-73.95774,40.773617,-73.977087,40.758465,8,1784,3676
9.8,-73.972673,40.759186,-73.969897,40.791367,2,60,7904
8.1,-73.984267,40.744960999999996,-73.981646,40.759608,2,815,5477
10.9,-74.003899,40.725514000000004,-73.976484,40.765537,4,1013,3351
17.5,-73.97845,40.76292,-74.008482,40.716502,2,1782,2385
